Date,apple_kg,banana_kg,guava_kg,mangoes_kg,pomegranate_kg,orange_kg,lemon_kg,grapes_kg,watermelon_kg,muskmelon_kg,onion_kg,carrot_kg,garlic_kg,coriander_kg,cucumber_kg,radish_kg,cabbage_kg,cauliflower_kg,tomato_kg,potato_kg,ginger_kg,broccoli_kg,lady_finger_kg,chillies_kg,brinjal_kg,bitter_gourd_kg,spinach_kg,pumpkin_kg,pointed_gourd_kg,beetroot_kg,capsicum_kg,green_peas_kg
2022-01-21,130.7,193.19,46.22,9.72,0.0,202.93,45.03,85.16,12.8,9.81,267.77,126.34,43.95,24.34,70.73,62.89,70.83,165.39,192.85,282.23,39.43,21.38,56.65,26.2,63.97,27.84,47.37,37.71,27.3,28.69,36.98,109.32
2022-01-22,115.51,220.72,67.69,9.11,61.23,170.42,66.03,138.19,13.75,12.37,226.78,135.88,51.9,28.99,66.99,54.99,84.8,154.3,232.42,246.52,31.11,23.77,54.28,26.85,78.18,23.19,54.38,46.55,44.4,29.33,59.17,108.31
2022-01-23,123.67,232.85,58.01,12.11,62.48,186.12,55.25,104.21,15.0,8.07,248.93,164.33,46.73,32.96,77.34,52.23,71.08,118.05,190.16,356.7,41.55,14.89,57.81,28.3,70.66,35.72,39.57,40.99,38.85,30.99,56.43,112.34
2022-01-24,121.68,161.29,53.25,9.48,70.11,135.91,40.02,111.39,13.5,7.95,174.32,125.78,43.51,26.93,69.96,33.43,62.56,95.89,194.88,252.01,25.91,17.75,55.73,23.63,66.82,28.12,42.29,46.69,29.18,35.2,63.07,99.59
2022-01-25,132.55,180.24,47.33,9.96,49.21,199.51,43.42,0.0,16.36,9.59,246.93,117.01,48.14,26.92,82.39,55.29,55.61,141.46,195.22,324.0,34.08,15.53,46.55,26.35,74.88,25.64,45.24,45.27,41.42,20.17,46.89,116.98
2022-01-26,0.0,165.98,39.42,6.6,62.79,168.88,46.48,102.78,10.24,8.74,262.24,130.13,43.52,28.29,62.46,54.86,62.66,129.85,182.14,216.07,43.69,20.5,56.71,22.53,66.75,23.94,39.13,47.0,33.87,34.2,59.0,108.23
2022-01-27,124.16,182.0,50.07,10.01,66.88,216.52,51.35,107.32,14.6,6.32,193.84,153.29,49.02,29.97,69.57,58.32,69.23,131.68,210.49,291.46,36.89,17.1,54.41,26.4,57.79,27.44,56.48,40.54,33.85,31.94,53.17,92.47
2022-01-28,99.02,181.86,42.68,9.69,69.44,193.45,48.68,103.32,13.78,8.35,180.63,148.35,38.32,0.0,65.13,51.66,62.67,123.75,210.7,239.03,32.05,20.89,49.63,0.0,62.53,26.03,51.62,46.24,34.97,29.28,47.26,81.43
2022-01-29,126.81,175.0,47.23,10.32,69.77,185.56,50.16,99.42,14.33,9.53,253.95,188.11,53.84,28.02,91.28,54.26,69.86,135.88,198.08,291.21,41.8,22.74,70.48,26.36,62.6,25.28,50.98,40.42,43.93,34.31,49.52,109.32
2022-01-30,129.96,205.25,55.31,12.04,72.57,173.73,54.61,120.21,12.16,9.71,304.31,167.44,45.05,29.86,0.0,63.88,87.33,158.45,189.3,311.92,35.55,22.11,53.88,32.14,70.42,40.6,55.21,44.55,37.19,36.88,57.9,108.43
2022-01-31,107.53,227.21,43.04,9.46,66.88,189.22,45.23,99.64,11.72,7.92,184.15,126.93,44.47,25.01,69.42,47.35,66.88,109.66,198.49,288.54,35.79,19.3,57.15,30.31,58.71,22.54,0.0,30.97,40.49,28.88,44.96,128.83
2022-02-01,95.77,190.48,48.71,9.99,58.95,171.0,61.22,99.04,11.52,10.36,212.54,154.47,41.43,28.11,46.0,41.96,66.9,145.21,179.19,273.13,30.99,21.75,57.38,25.4,63.6,28.33,50.57,42.22,31.28,27.67,51.58,98.54
2022-02-02,122.34,152.2,44.97,10.55,53.75,154.08,43.13,133.43,12.12,7.11,229.07,133.79,48.09,21.27,77.89,53.1,69.35,127.82,190.08,258.44,33.06,21.06,48.19,23.81,66.92,29.64,44.14,42.13,33.61,32.7,44.79,98.77
2022-02-03,130.24,160.05,48.52,11.51,70.73,172.5,47.17,91.23,13.33,9.15,223.45,140.05,38.78,32.91,56.21,56.23,72.33,104.34,132.85,264.19,39.04,17.58,49.9,23.88,55.66,29.51,53.53,40.6,26.4,31.05,43.24,94.36
2022-02-04,114.98,179.16,45.86,11.4,63.99,129.79,46.37,106.72,14.25,8.15,233.29,134.09,49.09,28.47,53.27,40.8,65.46,100.98,194.99,345.09,41.34,20.39,58.32,23.86,0.0,22.22,41.62,38.59,33.96,35.49,39.64,93.72
2022-02-05,148.24,179.77,54.51,10.7,67.27,200.06,52.03,126.02,16.89,9.05,288.38,139.78,50.62,31.28,84.88,57.33,65.25,129.45,214.11,329.39,40.07,22.47,67.66,19.35,60.38,33.62,42.66,49.06,33.49,39.32,57.28,121.13
2022-02-06,113.83,231.34,64.29,10.25,56.7,204.57,48.95,149.46,13.13,11.41,277.24,217.38,49.3,27.35,80.72,61.96,76.79,131.97,191.07,257.75,42.33,25.19,63.62,29.93,62.72,37.7,50.03,51.51,34.17,32.81,55.76,119.73
2022-02-07,106.76,149.9,53.39,11.78,44.6,146.19,58.4,95.22,12.55,8.45,211.97,131.33,42.07,25.47,71.25,46.87,73.47,101.58,217.53,263.56,32.51,22.86,58.28,25.86,62.23,24.6,55.67,49.15,30.06,30.14,43.07,95.66
2022-02-08,122.05,190.63,48.03,0.0,0.0,196.05,63.63,127.25,11.09,9.16,183.79,115.1,42.98,22.71,62.81,61.01,68.43,133.44,190.6,274.98,30.51,19.92,51.83,25.1,58.19,29.93,41.17,41.95,35.12,34.85,49.2,104.83
2022-02-09,113.85,145.83,56.27,10.7,44.23,190.81,52.08,107.23,13.86,9.67,249.79,156.58,51.8,24.25,55.03,46.24,70.75,135.91,201.34,190.25,35.34,24.61,61.88,27.55,71.28,30.01,47.17,39.46,35.0,33.65,41.47,99.53
2022-02-10,129.01,178.82,51.16,8.08,59.98,176.64,51.54,107.7,12.89,8.79,212.46,111.27,41.97,29.98,47.41,46.24,62.38,135.01,216.15,298.31,35.08,18.22,44.92,21.67,48.85,29.15,40.28,37.31,38.29,32.08,50.25,100.45
2022-02-11,126.58,157.61,55.8,7.66,54.97,150.76,40.92,117.97,11.99,10.2,223.09,141.93,51.85,21.8,71.2,47.43,59.41,139.72,212.07,232.97,43.97,16.58,56.19,18.88,73.02,36.88,56.5,42.62,0.0,34.37,49.37,88.18
2022-02-12,128.54,217.93,45.52,11.42,63.33,206.04,65.21,145.16,11.39,8.23,273.73,178.43,60.19,37.79,64.41,49.65,74.32,133.3,184.41,270.44,38.03,25.91,69.03,26.59,74.78,32.54,42.45,40.38,0.0,28.41,60.59,118.57
2022-02-13,115.11,226.61,48.27,11.01,77.0,182.03,50.65,115.61,14.08,10.33,278.7,137.57,49.17,34.34,81.4,51.78,68.33,146.74,226.77,251.4,37.84,20.09,68.04,30.2,72.95,30.87,53.11,47.35,39.86,35.88,46.13,107.05
2022-02-14,113.24,187.17,50.0,11.01,55.03,174.38,40.34,113.5,12.73,6.55,242.68,144.67,37.62,27.86,58.5,50.98,75.98,139.55,181.78,291.77,36.87,16.68,0.0,25.34,66.24,23.74,43.08,36.21,32.82,27.16,36.8,112.29
2022-02-15,126.92,203.43,47.89,9.22,60.33,186.07,53.16,111.63,9.78,10.91,265.9,139.37,50.27,24.04,69.62,45.05,68.82,133.64,224.51,280.14,32.41,18.09,60.0,24.46,66.08,34.25,52.57,39.67,39.41,33.32,58.38,83.13
2022-02-16,129.58,128.65,48.69,10.46,55.07,140.91,56.27,110.99,0.0,9.13,147.44,131.07,50.21,29.04,59.51,53.75,61.52,129.52,241.14,293.67,31.5,18.73,51.7,30.47,57.66,25.98,43.38,35.57,32.17,31.97,52.25,94.61
2022-02-17,113.9,182.99,52.11,10.94,61.97,135.15,58.15,120.32,12.54,6.9,220.13,168.01,51.94,28.7,74.93,41.33,56.85,145.88,228.03,308.52,36.23,15.66,51.55,29.07,67.18,30.47,43.33,37.7,28.62,34.18,45.95,83.76
2022-02-18,95.7,190.32,50.06,9.27,60.95,160.55,47.24,100.47,14.92,9.27,204.01,139.23,44.83,24.96,70.83,45.12,73.17,120.45,216.97,267.61,28.85,19.17,56.46,27.31,62.82,34.71,42.9,41.77,26.7,35.22,57.81,108.93
2022-02-19,113.07,216.32,60.46,10.88,67.19,237.08,52.17,117.48,15.71,11.66,220.13,174.95,52.5,31.8,77.12,68.5,64.84,134.8,221.0,274.95,41.02,20.74,53.71,27.19,55.81,35.05,53.32,49.83,37.02,29.08,70.42,114.24
2022-02-20,140.85,156.93,60.27,9.85,74.94,243.79,57.18,0.0,13.47,9.36,230.05,180.21,48.07,28.98,67.99,51.59,0.0,143.15,245.45,300.36,36.82,22.41,64.28,37.62,62.84,27.3,47.95,42.99,38.5,35.95,58.98,93.13
2022-02-21,114.55,188.99,43.34,11.06,49.23,178.14,48.68,116.86,11.81,8.35,206.4,141.2,42.7,21.05,55.86,49.98,66.98,127.74,157.58,241.23,37.58,14.65,61.26,20.51,53.98,32.09,42.07,29.43,34.44,28.35,49.2,99.61
2022-02-22,114.87,193.64,36.31,10.77,47.57,191.46,53.29,110.38,11.29,9.54,227.16,127.25,46.59,22.9,71.26,50.47,57.99,127.13,184.24,277.84,39.98,19.35,63.98,21.89,59.52,27.34,37.77,31.59,26.37,32.93,42.55,95.76
2022-02-23,106.56,182.74,43.0,10.86,51.71,169.74,51.11,129.21,11.15,9.32,236.12,161.36,50.77,30.53,63.02,43.88,63.86,102.56,210.98,299.56,31.51,25.15,67.19,28.26,47.12,31.78,40.63,31.72,36.59,28.2,47.62,94.28
2022-02-24,106.32,152.39,42.66,9.83,60.98,172.51,39.09,94.96,11.91,8.83,193.06,141.97,49.42,25.34,68.3,45.54,74.55,141.78,194.43,234.8,33.69,22.06,56.67,28.51,65.86,36.21,49.11,46.41,33.7,28.46,42.54,98.19
2022-02-25,132.1,168.19,49.11,10.75,63.16,166.15,44.79,135.48,15.44,7.99,244.49,143.76,45.43,24.56,67.8,52.3,54.32,130.98,173.67,268.45,38.75,16.85,50.85,23.54,67.2,31.44,41.23,52.42,38.02,30.89,52.53,81.34
2022-02-26,141.41,231.48,54.92,7.84,45.35,217.56,65.39,133.42,13.22,9.23,276.99,154.77,57.41,30.49,75.31,51.63,81.89,99.82,235.58,288.59,40.06,20.43,54.95,32.76,64.35,32.96,73.14,44.09,39.31,28.92,73.01,134.41
2022-02-27,124.82,228.33,53.25,11.12,70.63,228.18,59.72,88.63,13.79,8.61,176.97,179.94,43.56,22.58,86.89,51.28,74.41,108.99,261.18,290.98,46.42,21.07,76.91,24.28,71.39,23.68,51.27,35.79,41.73,30.47,59.59,134.71
2022-02-28,121.04,189.9,51.39,12.02,72.14,172.02,56.11,118.5,10.6,6.8,236.8,107.56,58.42,26.86,67.41,45.51,60.19,145.72,230.66,291.11,35.92,23.04,52.84,26.22,71.61,26.93,35.73,35.15,29.53,32.43,57.82,99.86
2022-03-01,123.35,195.07,63.52,10.1,57.48,72.6,44.88,101.93,13.15,10.06,208.92,41.79,39.38,39.62,86.18,58.21,53.88,39.18,184.59,275.55,39.75,19.21,40.83,28.06,58.09,25.81,48.84,34.66,38.03,36.2,49.0,32.14
2022-03-02,143.07,200.97,47.43,11.33,70.94,70.4,53.14,106.14,12.29,9.6,256.32,47.99,45.0,41.81,105.86,56.72,64.08,42.22,238.05,252.53,29.94,18.86,49.66,26.07,58.09,31.38,57.98,46.12,36.27,23.99,52.33,27.37
2022-03-03,105.26,189.65,50.25,9.83,0.0,86.05,33.81,103.99,11.72,9.48,219.65,42.54,46.51,33.83,105.4,51.08,60.58,36.86,188.53,256.22,31.38,17.13,51.24,20.65,59.1,34.45,38.97,37.84,32.29,27.99,48.18,33.43
2022-03-04,123.17,205.98,48.69,11.7,69.94,79.36,54.8,126.29,10.9,9.46,200.88,46.04,46.71,35.97,89.79,48.98,63.99,55.62,203.04,263.98,40.79,18.87,60.11,27.99,65.22,30.99,40.09,56.72,41.29,31.71,40.92,40.22
2022-03-05,147.87,229.78,50.82,10.25,76.54,70.89,56.98,97.78,12.56,9.56,215.97,60.93,56.73,44.25,98.3,0.0,77.85,46.42,249.93,293.42,35.06,21.43,72.22,32.57,64.91,33.55,48.75,38.68,49.81,27.61,42.65,38.48
2022-03-06,158.0,263.83,58.43,11.88,64.38,99.44,48.88,120.91,13.02,9.41,251.89,60.84,45.81,38.31,114.5,59.08,59.79,44.14,165.09,295.6,45.75,22.63,68.17,28.68,66.33,33.5,40.88,39.17,36.28,32.94,0.0,35.46
2022-03-07,110.79,169.04,47.15,9.36,65.88,51.65,50.31,109.03,11.71,7.45,209.37,46.85,47.07,39.9,83.64,52.8,65.98,46.83,201.6,285.06,31.86,17.98,58.61,19.88,64.94,29.28,39.42,37.82,38.38,31.29,46.54,29.13
2022-03-08,114.39,169.41,44.2,10.41,57.47,84.96,54.18,103.55,10.89,9.7,186.24,49.83,48.94,39.3,102.39,46.17,78.49,36.11,178.58,223.96,29.18,17.17,64.69,25.42,64.49,33.97,48.5,37.31,34.82,30.29,49.12,32.87
2022-03-09,129.15,120.33,44.59,9.46,71.98,80.97,56.57,97.74,12.15,11.65,179.36,49.72,51.49,28.83,115.69,47.81,61.55,47.6,191.29,275.96,33.91,17.11,60.63,23.29,57.09,32.35,44.82,45.18,37.07,28.67,38.33,39.63
2022-03-10,98.82,187.98,54.21,10.09,58.1,72.46,41.34,81.13,12.61,9.22,228.88,42.56,43.84,43.18,105.7,47.23,68.32,40.93,223.15,279.46,29.95,22.14,62.89,25.24,53.72,35.13,44.85,40.14,35.89,25.39,48.23,31.9
2022-03-11,124.51,221.8,52.01,9.61,63.5,72.24,50.76,108.17,13.42,9.87,182.77,32.87,46.01,34.32,116.48,51.59,50.27,45.65,188.37,321.62,37.19,22.54,51.22,27.24,58.4,34.69,35.72,42.98,38.23,38.78,54.46,37.21
2022-03-12,166.6,232.83,51.48,12.21,82.39,79.33,47.5,130.84,16.59,11.06,180.33,57.4,50.71,43.59,110.59,64.8,59.74,48.48,221.11,289.3,29.05,24.84,53.08,24.03,67.11,42.11,42.35,46.3,30.56,31.17,60.33,36.12
2022-03-13,141.08,221.59,57.44,11.94,71.49,71.31,60.77,123.64,10.92,11.76,277.47,48.25,54.51,53.34,110.55,56.01,66.82,45.47,222.53,308.45,47.74,21.17,54.78,33.38,69.83,37.03,47.45,46.29,41.37,37.19,56.36,28.96
2022-03-14,89.3,209.57,48.75,9.32,56.77,87.88,55.88,97.75,12.83,7.86,195.76,45.72,48.7,34.77,100.07,50.56,0.0,34.15,215.46,290.82,35.07,22.04,53.95,24.14,61.0,32.45,51.59,38.9,0.0,32.51,54.87,26.89
2022-03-15,108.29,190.72,50.35,9.29,50.98,71.98,44.39,109.16,11.87,7.13,233.12,38.56,43.63,40.9,103.58,45.05,60.8,42.55,221.45,274.72,37.42,21.67,67.41,25.67,52.18,29.49,42.12,45.6,35.28,29.45,46.69,35.32
2022-03-16,111.19,173.77,45.23,9.06,49.28,63.53,43.39,129.4,9.39,8.99,224.35,52.26,45.18,49.07,102.83,40.5,68.58,37.82,206.23,202.51,37.97,20.81,51.62,23.6,57.8,17.9,45.95,44.37,40.0,28.74,58.07,33.19
2022-03-17,135.35,228.26,42.82,8.84,63.02,87.2,46.32,101.0,11.39,8.64,203.43,53.58,45.56,41.62,88.15,47.64,60.71,42.4,190.53,205.46,35.51,19.08,49.09,27.24,47.48,30.08,41.21,36.01,30.62,25.62,67.66,36.73
2022-03-18,158.92,255.23,63.61,14.83,80.02,102.61,66.01,151.56,13.36,0.0,350.73,67.56,54.15,59.74,131.88,72.96,75.21,62.5,275.85,344.94,49.36,28.09,96.19,40.23,84.12,45.22,60.45,51.22,51.29,45.65,76.79,43.91
2022-03-19,107.39,229.19,48.93,10.08,58.04,85.75,51.06,127.8,14.84,8.62,265.94,0.0,53.05,37.37,124.99,50.59,70.66,49.89,212.26,292.85,37.35,18.93,63.84,25.42,59.81,32.03,60.83,39.77,35.8,38.26,55.13,41.52
2022-03-20,133.53,143.94,48.49,11.77,72.84,100.34,61.41,103.11,14.61,12.19,244.18,50.88,52.81,51.55,96.06,44.17,77.61,32.29,269.35,303.89,42.51,24.4,58.57,30.0,56.53,38.24,52.42,45.21,36.94,33.16,50.83,39.23
2022-03-21,121.88,132.06,40.93,9.52,64.93,77.82,56.6,105.55,12.47,8.65,197.94,52.41,40.16,30.49,63.05,53.03,73.2,40.11,197.48,341.61,25.93,15.18,46.61,23.08,58.71,29.45,43.44,41.83,32.38,28.06,42.75,27.99
2022-03-22,112.81,183.66,36.34,11.29,59.15,66.54,50.51,105.69,11.25,7.58,235.17,57.56,47.73,41.27,100.05,52.36,64.1,38.67,227.31,221.85,41.65,19.09,46.04,27.16,63.41,30.29,48.13,37.35,35.22,26.86,50.02,31.81
2022-03-23,106.1,160.51,46.06,12.36,70.3,77.8,45.77,109.88,14.31,10.62,239.45,43.78,59.43,38.72,103.35,46.38,68.55,39.25,227.48,280.54,33.21,19.5,61.52,25.17,60.81,35.88,47.97,38.02,38.07,29.88,42.77,30.52
2022-03-24,150.65,0.0,55.38,6.75,48.12,64.39,48.69,125.77,10.72,7.87,221.91,46.99,41.43,37.24,103.35,45.71,65.37,42.89,206.35,222.26,38.5,18.98,42.75,27.86,72.53,32.55,47.38,35.96,34.84,27.39,51.61,28.98
2022-03-25,132.07,169.38,53.69,9.14,57.02,68.06,50.51,0.0,11.74,9.88,218.68,42.25,40.11,36.43,80.43,48.1,66.08,39.5,209.37,274.26,39.26,21.84,54.71,25.93,48.87,30.41,42.23,35.07,38.79,30.86,49.42,32.27
2022-03-26,149.42,268.55,65.43,10.64,71.44,83.67,54.25,141.92,13.42,10.1,265.85,54.08,32.85,46.74,95.75,52.41,65.09,42.28,234.6,258.21,36.94,18.99,71.96,35.54,0.0,41.47,41.49,42.39,37.5,35.15,50.72,41.46
2022-03-27,131.87,226.99,48.24,11.05,58.84,90.12,55.31,131.99,13.64,12.19,243.49,51.5,54.73,39.51,124.42,66.72,65.89,39.62,239.89,199.05,38.79,19.78,57.7,26.46,63.37,31.18,49.36,43.71,32.43,35.19,56.79,34.53
2022-03-28,110.57,211.96,52.56,9.79,65.78,67.01,56.06,135.94,15.8,10.13,200.44,47.38,43.6,36.67,110.87,47.93,56.37,39.87,172.51,278.8,34.45,20.03,56.99,21.2,66.87,27.07,39.52,35.89,35.85,26.97,51.35,28.66
2022-03-29,113.45,135.62,48.0,8.58,67.94,70.58,45.42,84.05,14.66,8.62,184.42,52.49,50.67,41.31,98.2,51.9,61.21,45.86,252.94,291.01,33.98,16.36,50.33,23.38,57.15,26.88,38.93,34.78,34.12,27.29,53.16,36.22
2022-03-30,101.6,197.53,44.6,12.39,42.52,70.49,61.84,78.05,12.99,10.63,217.6,54.17,44.93,44.03,101.66,48.79,71.89,46.14,203.99,237.07,31.96,18.81,0.0,23.43,54.48,30.86,45.85,50.59,41.17,29.56,49.77,33.21
2022-03-31,142.74,176.19,54.61,9.84,70.59,82.12,50.68,144.43,12.3,9.36,183.72,41.46,42.35,38.2,86.76,52.12,77.13,43.38,233.05,273.73,34.8,23.29,57.8,24.77,63.9,30.18,44.61,37.55,31.07,33.72,52.65,26.26
2022-04-01,118.29,212.44,48.06,136.42,63.33,72.23,48.13,91.57,98.24,70.87,239.8,49.66,44.85,46.25,82.71,46.57,71.88,31.59,204.46,266.47,33.8,21.76,64.02,23.93,57.84,31.48,48.12,40.8,36.53,31.4,57.46,34.64
2022-04-02,155.46,217.36,43.43,153.34,62.96,99.27,50.73,110.43,119.72,80.58,243.72,62.75,54.55,44.34,86.67,51.93,76.34,48.0,230.57,263.97,44.99,26.62,62.05,28.75,77.93,26.79,52.97,47.8,39.05,29.93,48.44,38.91
2022-04-03,127.77,200.7,60.05,119.55,55.78,76.22,51.23,110.55,125.17,88.92,273.39,56.99,54.33,43.82,92.39,55.97,72.97,55.19,207.9,247.19,40.13,22.16,63.71,22.46,66.0,27.11,53.74,46.29,32.76,35.29,48.08,36.45
2022-04-04,126.17,154.4,50.87,123.88,66.79,67.37,49.95,95.29,85.54,68.51,226.35,42.67,38.4,52.02,101.65,45.6,71.85,35.76,188.86,281.21,32.31,21.95,58.68,23.91,66.99,27.06,56.94,43.22,28.04,18.75,54.62,27.71
2022-04-05,122.64,183.24,49.44,140.59,51.49,84.77,50.64,117.18,118.65,66.03,233.24,53.88,48.69,40.57,96.43,47.65,88.97,39.66,154.59,315.92,40.46,22.09,53.84,23.88,59.49,30.87,60.26,40.43,28.25,32.8,46.53,30.35
2022-04-06,100.3,206.12,42.02,150.94,63.32,77.03,47.93,106.62,103.32,64.07,202.61,51.29,45.71,48.27,99.38,53.76,66.82,45.92,246.72,252.48,39.51,16.43,60.63,0.0,63.46,28.52,42.28,32.71,38.06,34.35,57.68,31.38
2022-04-07,144.82,213.91,50.11,124.19,51.75,94.59,42.37,100.41,92.08,73.61,215.87,50.7,46.14,51.43,99.18,56.96,69.2,32.13,228.2,203.07,33.93,18.37,54.83,22.31,68.15,25.88,46.97,40.68,34.75,28.5,55.92,32.58
2022-04-08,114.48,172.39,57.42,109.08,59.82,84.38,49.95,132.75,96.75,64.63,225.98,46.83,47.37,33.52,85.18,61.84,66.89,39.77,185.54,190.15,35.57,18.98,59.44,22.17,48.52,26.6,45.71,38.35,37.16,30.49,57.89,28.6
2022-04-09,116.55,262.85,56.79,134.79,74.41,68.63,51.34,92.14,116.44,89.09,249.63,56.38,44.83,39.44,114.67,59.65,89.16,56.67,226.3,295.34,45.05,28.24,72.08,28.11,52.26,36.62,39.76,39.99,41.85,30.44,45.57,39.92
2022-04-10,144.78,228.68,0.0,138.38,63.06,80.66,44.8,137.54,117.11,76.49,248.35,71.9,42.8,35.02,126.39,57.79,71.51,55.86,240.29,239.35,42.9,25.29,62.99,30.95,55.14,39.35,49.25,54.44,29.97,29.45,55.41,45.18
